81547,Grünwalder Straße 71
47877,Anrather Straße 28
32756,Georgstraße 1c
23879,Wasserkrüger Weg 127
08371,Dietrich-Bonhoeffer-Straße 67
44534,Borker Straße 59A 
10178,Rosenstraße 19
21629,Hauptstraße 28
85221,Augsburger Straße 45
15320,Karl-Marx-Allee 11
50679,Deutz-Kalker Straße 3-5
83043,Grassinger Straße 16
46045,Hermann-Albertz-Straße 18
90419,Juvenellstraße 22
12205,Drakestraße 78
44536,Königsheide 12
12439,Britzer Straße 17
21354,Industriestraße 6
58239,Kirchstraße 9
44795,Hattinger Straße 239
49134,Moorbachstraße 3
44225,Stockumer Straße 205
10961,Tempelherrenstraße 2
80337,Lindwurmstraße 123
45138,Steeler Straße 177
04109,Jahnallee 2
12057,Karl-Marx-Straße 270
39104,Kantstraße 6
86150,Bürgermeister-Fischer-Straße 4
22769,Große Bahnstraße 98
80335,Arnulfstraße 21
91056,Wiesenweg 2
42489,Wilhelmstraße 145 
22119,Manshardtstraße 115
10247,Rigaer Straße 30
48161,Dieckmannstraße 6
63225,Carl-Schurz-Straße 16
10785,Marlene-Dietrich-Platz 3
41462,Kaarster Straße 40
87600,Ringweg 1
24943,Engelsbyer Straße 53-57
79336,Ringstraße 3
13597,Jüdenstraße 17
22049,Krausestraße 31
81667,Rosenheimer Straße 109
45888,Bismarckstraße 86
59555,Fleischhauerstraße 25
68167,Soironstraße 3
86415,Münchener Straße 3
55268,Uhlandstraße 2
49080,Spindelstraße 24
23556,Schönböckener Straße 50
60486,Kreuznacher Straße 45
45894,Breddestraße 9
52428,Berliner Straße 2
93053,Galgenbergstraße 7
10719,Uhlandstraße 145
83607,Tölzer Straße 29
65199,Straßenmühlweg 4
22175,Bramfelder Chaussee 390
21073,Wilstorfer Straße 102
01237,Lohrmannstraße 22
50827,Venloer Straße 603
23558,Moislinger Allee 43
83734,Tegernseer Straße 19d
22457,Riekbornweg 2
22087,Barcastraße 3
24223,Zum See 3
80333,Rottmannstraße 24
59821,Ringstraße 16
60486,Robert-Mayer-Straße 41
21680,Hinterm Teich 4
13403,Ollenhauerstraße 112
56070,Mayener Straße 14
40233,Ronsdorfer Straße 89
10715,Berliner Straße 32
42277,Westkotter Straße 120a 
53359,Vor dem Voigtstor 23
63069,Senefelderstraße 27
13189,Neumannstraße 3c
12685,Allee der Kosmonauten 198
98544,Meininger Straße 44 
26835,Auricher Straße 15
65936,Westerwaldstraße 33
15320,Karl-Marx-Allee 11
26135,Emsstraße 8
53119,Sachsenweg 22
20253,Gärtnerstraße 94
24103,Knooper Weg 48
40237,Rethelstraße 98
69412,Alter Markt 6
56073,Koblenzer Straße 166
50354,Esserstraße 11
28237,Gröpelinger Heerstraße 223
55118,Kurfürstenstraße 49
52531,Roermonder Straße 110
63500,Frankfurter Straße 23
90489,Fenitzerstraße 12
51103,Olpener Straße 35
45884,Saarbrücker Straße 1
22589,Espenreihe 15
22339,Hummelsbütteler Markt 20
02826,Jakobstraße 15
48599,Enscheder Straße 91
70499,Solitudestraße 305
35398,Rodheimer Straße 100
21509,Avenue Saint Sebastien 10
31515,Südstraße 21
21339,Bessemerstraße 3
85051,Münchener Straße 47
91058,Äußere Brucker Straße 170
50737,Neusser Straße 766
71263,Siemensstraße 3/1
81379,Gmunder Straße 13
91056,Büchenbacher Anlage 20
51147,Heidestraße 208
50679,Mindener Straße 4
31224,Rosenhagen 52
72379,Heiligkreuzstraße 37
40211,Kölner Straße 28
10437,Göhrener Straße 6
14163,Potsdamer Straße 26
10405,Metzer Straße 17
45891,Cranger Straße 347 
30851,Walsroder Straße 30
86447,Schulstraße 1
04299,Holzhäuser Straße 64
15320,Karl-Marx-Allee 11
22303,Barmbeker Straße 15
24787,Rendsburger Straße 24
59063,Werler Straße 247
15320,Karl-Marx-Allee 11
85221,Münchner Straße 85
52066,Adalbertsteinweg 240
50737,Neusser Straße 684
50996,Weißer Straße 59
97464,Friedrich-Ebert-Straße 14
80339,Alter Messeplatz 4
47800,Uerdinger Straße 713
10825,Kufsteiner Straße 22
52349,Rurstraße 41-43
78549,Hauptstraße 242
81737,Stemplingeranger 16
44149,Spickufer 8
85737,Dorfstraße 23
26919,Kirchenstraße 62
47803,Hülser Straße 88
68535,Theodor-Heuss-Straße 1
46045,Helmholtzstraße 49
35625,Gartenstraße 10a
65549,Grabenstraße 33
24113,Tonberg 15
67063,Sternstraße 140b
07330,Gräfenthaler Straße 2
28239,Heidbergstraße 55
27711,Am Binnenfeld 1
65197,Carl-von-Linde-Straße 20
13585,Schönwalder Straße 59
27356,Große Gartenstraße 2
18273,Grüner Winkel 21
27576,Hafenstraße 99
27472,Meyerstraße 10
45139,Wisthoffweg 18
80634,Wendl-Dietrich-Straße 17
42653,Schlagbaumer Straße 124
28857,Barrier Straße 35
27283,Im Burgfeld 3
54292,Am Stadion 1
79650,Gündenhausen 39
15320,Karl-Marx-Allee 1
04357,Tauchaer Straße 10
47055,Düsseldorfer Straße 534
25917,Hauptstraße 49
07743,August-Bebel-Straße 27b
52068,Stolberger Straße 70
42103,Hoeftstraße 29-31
90513,Burgfarrnbacher Straße 43
09111,Hartmannstraße 2
10827,Hauptstraße 54
17268,Werderstraße 11
10245,Boxhagener Straße 121
55118,Kurfürstenstraße 12
15320,Karl-Marx-Allee 11
37671,Bödexer Tal 57
79618,Friedrichstraße 23 
22399,Harksheider Straße 10
60487,Rödelheimer Straße 27
78166,Josefstraße 13
50670,Hansaring 111-113
90459,Karl-Bröger-Straße 32 
66507,Am Steigert 2
74177,Hauptstraße 5
53173,Bonner Straße 67
59581,Hauptstraße 15
12167,Albrechtstraße 114
53121,Grootestraße 5
59558,Ostlandstraße 10
47799,Philadelphiastraße 86 
45891,Cranger Straße 190
